Supplier_Name,featureId,pwsid,service_areas_connection,service_areas_loccity,service_areas_county
East Bay Municipal Utilities District,EAST BAY MUD,0110005,386065,OAKLAND,ALAMEDA
Morro Bay  City of,MORRO BAY WATER DEPARTMENT,4010011,5392,MORRO BAY,SAN LUIS OBISPO
Yorba Linda Water District,YORBA LINDA WATER DISTRICT,3010037,23489,PLACENTIA,ORANGE
Long Beach  City of,"LONG BEACH-CITY, WATER DEPT.",1910065,87240,LONG BEACH,LOS ANGELES
"Los Banos, City of",LOS BANOS-CITY,2410005,10852,LOS BANOS,MERCED
Turlock  City of,"TURLOCK, CITY OF",5010019,16691,TURLOCK,STANISLAUS
Jurupa Community Service District,JURUPA COMMUNITY SD,3310021,26591,MIRA LOMA,RIVERSIDE
Coastside County Water District,COASTSIDE COUNTY WATER DISTRICT,4110011,6893,HALF MOON BAY,SAN MATEO
Citrus Heights Water District,CITRUS HEIGHTS WATER DISTRICT,3410006,19573,CITRUS HEIGHTS,SACRAMENTO
Burlingame  City of,CITY OF BURLINGAME,4110003,9088,BURLINGAME,SAN MATEO
Orange Vale Water Company,ORANGE VALE WATER COMPANY,3410016,5572,ORANGEVALE,SACRAMENTO
Dublin San Ramon Services District,DUBLIN SAN RAMON SERVICES DISTRICT,0110009,15308,DUBLIN,ALAMEDA
Los Angeles Department of Water and Power,METROPOLITAN WATER DIST. OF SO. CAL.,1910087,-,LOS ANGELES,LOS ANGELES
Camrosa Water District,CAMROSA WATER DISTRICT,5610063,7843,CAMARILLO,VENTURA
El Dorado Irrigation District,EL DORADO ID - MAIN,0910001,38765,PLACERVILLE,EL DORADO
El Centro  City of,"EL CENTRO, CITY OF",1310004,10676,EL CENTRO,IMPERIAL
Milpitas  City of,CITY OF MILPITAS,4310005,14808,MILPITAS,SANTA CLARA
Santa Rosa  City of,"SANTA ROSA, CITY OF",4910009,54603,SANTA ROSA,SONOMA
Westminster  City of,CITY OF WESTMINSTER,3010064,20193,WESTMINSTER,ORANGE
Mid-Peninsula Water District,MID-PENINSULA WATER DISTRICT,4110001,7931,BELMONT,SAN MATEO
Olivenhain Municipal Water District,OLIVENHAIN MWD,3710029,26058,ENCINITAS,SAN DIEGO
Tracy  City of,"TRACY, CITY OF",3910011,23451,TRACY,SAN JOAQUIN
Daly City  City of,CITY OF DALY CITY,4110013,22316,DALY CITY,SAN MATEO
Delano  City of,"DELANO, CITY OF",1510005,8807,DELANO,KERN
Anaheim  City of,CITY OF ANAHEIM,3010001,62476,ANAHEIM,ORANGE
Elsinore Valley Municipal Water District,ELSINORE VALLEY MWD,3310012,38368,LAKE ELSINORE,RIVERSIDE
Coachella Valley Water District,NOT MARKED,,,,
Lake Hemet Municipal Water District,LAKE HEMET MWD,3310022,14437,HEMET,RIVERSIDE
Carmichael Water District,CARMICHAEL WATER DISTRICT,3410004,11242,CARMICHAEL,SACRAMENTO
Monte Vista Water District,MONTE VISTA CWD,3610029,11907,MONTCLAIR,SAN BERNARDINO
Pleasanton  City of,CITY OF PLEASANTON,0110008,21516,PLEASANTON,ALAMEDA
Santa Monica  City of,"SANTA MONICA-CITY, WATER DIVISION",1910146,17847,SANTA MONICA,LOS ANGELES
Riverside  City of,"RIVERSIDE, CITY OF",3310031,63534,RIVERSIDE,RIVERSIDE
Contra Costa Water District,CONTRA COSTA WATER DISTRICT,0710003,60476,CONCORD,CONTRA COSTA
"Imperial, City of","IMPERIAL, CITY OF",1310006,4234,IMPERIAL,IMPERIAL
California Water Service Company Antelope Valley,CALAM - ANTELOPE,3410031,10354,SACRAMENTO,SACRAMENTO
Irvine Ranch Water District,IRVINE RANCH WATER DISTRICT,3010092,100772,IRVINE,ORANGE
Watsonville  City of,"WATSONVILLE, CITY OF",4410011,15948,WATSONVILLE,SANTA CRUZ
San Jose  City of,CITY OF SAN JOSE - EVG/EDV/COY,4310020,23443,SAN JOSE,SANTA CLARA
Dinuba  City of,"DINUBA, CITY OF",5410002,6184,DINUBA,TULARE
Casitas Municipal Water District,CASITAS MUNICIPAL WATER DIST,5610024,3070,OAKVIEW,VENTURA
Sacramento Suburban Water District,SACRAMENTO SUBURBAN WATER DISTRICT,3410001,46385,SACRAMENTO,SACRAMENTO
San Jose Water Company,SAN JOSE WATER COMPANY,4310011,219571,SAN JOSE,SANTA CLARA
Rowland Water District,ROWLAND WATER DISTRICT,1910194,13888,ROWLAND HEIGHTS,LOS ANGELES
Folsom  City of,"FOLSOM, CITY OF - MAIN",3410014,18061,FOLSOM,SACRAMENTO
Chino  City of,CITY OF CHINO,3610012,17867,CHINO,SAN BERNARDINO
South Tahoe Public Utilities District,SOUTH TAHOE PUD - MAIN,0910002,13926,SOUTH LAKE TAHOE,EL DORADO
Hi-Desert Water District,HI DESERT WD,3610073,10456,YUCCA VALLEY,SAN BERNARDINO
"Soledad, City of","SOLEDAD, CITY OF",2710011,3725,SOLEDAD,MONTEREY
North Marin Water District,NORTH MARIN WATER DISTRICT,2110003,20639,NOVATO,MARIN
Marin Municipal Water District,MARIN MUNICIPAL WATER DISTRICT,2110002,61257,CORTE MADERA,MARIN
Shafter  City of,"SHAFTER, CITY OF",1510019,4151,SHAFTER,KERN
"Windsor, Town of","WINDSOR, TOWN OF",4910017,9052,WINDSOR,SONOMA
Indian Wells Valley Water District,INDIAN WELLS VALLEY W.D.,1510017,12544,RIDGECREST,KERN
San Francisco Public Utilities Commission,SFPUC CITY DISTRIBUTION DIVISION,3810011,177358,SAN FRANCISCO,SAN FRANCISCO
Brawley  City of,"BRAWLEY, CITY OF",1310001,5602,BRAWLEY,IMPERIAL
Ontario  City of,ONTARIO MUNICIPAL UTILITIES COMPANY,3610034,33451,ONTARIO,SAN BERNARDINO
Huntington Beach  City of,CITY OF HUNTINGTON BEACH,3010053,52358,HUNTINGTON BEACH,ORANGE
Calaveras County Water District,CALAVERAS PUD,0510002,1903,SAN ANDREAS,CALAVERAS
Humboldt Bay Municipal Water District,HUMBOLDT BAY MWD,1210013,201,EUREKA,HUMBOLDT
Santa Maria  City of,SANTA MARIA WATER DEPARTMENT,4210011,20900,SANTA MARIA,SANTA BARBARA
Yuba City  City of,CITY OF YUBA CITY,5110002,14964,YUBA CITY,SUTTER
Escondido  City of,"ESCONDIDO, CITY OF",3710006,25937,ESCONDIDO,SAN DIEGO
Los Angeles County Public Works Waterworks District 29,LOS ANGELES CO WW DISTRICT 29 & 80-MALIB,1910204,7513,ALHAMBRA,LOS ANGELES
Placer County Water Agency,PLACER CWA - FOOTHILL,3110025,23032,AUBURN,PLACER
Corona  City of,"CORONA, CITY OF",3310037,41233,CORONA,RIVERSIDE
Burbank  City of,"BURBANK-CITY, WATER DEPT.",1910179,26455,BURBANK,LOS ANGELES
Camarillo  City of,CAMARILLO WATER DEPT,5610019,13131,CAMARILLO,VENTURA
Blythe  City of,BLYTHE - CITY OF,3310003,3398,BLYTHE,RIVERSIDE
Roseville  City of,CITY OF ROSEVILLE,3110008,39492,ROSEVILLE,PLACER
Vista Irrigation District,VISTA IRRIGATION DISTRICT,3710027,26688,VISTA,SAN DIEGO
West Valley Water District,WEST VALLEY WATER DISTRICT,3610004,19529,RIALTO,SAN BERNARDINO
Napa  City of,"NAPA, CITY OF",2810003,24990,NAPA,NAPA
Mission Springs Water District,MISSION SPRINGS WD,3310008,12546,DESERT HOT SPRINGS,RIVERSIDE
